transaction_id,customer_name,product_name,category,city,total_amount,stock_actual,stock_minimo,risk_score,event_timestamp,batch_id
TRX-00033630,Vanesa,Zapatillas,Calzado,Piura,2198.36,38,40,0.95,2026-05-13 15:22:06,3
TRX-00079253,Fabio,Guantes,Deportes,Chiclayo,2046.8,20,21,0.9,2026-05-13 15:22:03,3
TRX-00058085,Mireia,Zapatillas,Calzado,Chiclayo,787.93,6,21,0.83,2026-05-13 15:22:00,3
TRX-00095089,Reyes,Casaca,Ropa,Trujillo,2201.1,34,35,0.82,2026-05-13 15:22:09,3
TRX-00083016,Enrique,Sandalias,Calzado,Arequipa,1228.9,17,25,0.78,2026-05-13 15:22:08,3
TRX-00008126,Micaela,Polo,Ropa,Chiclayo,562.37,8,30,0.75,2026-05-13 15:22:02,3
TRX-00003794,Eutropio,Pelota,Deportes,Arequipa,1838.88,404,33,0.75,2026-05-13 15:22:04,3
TRX-00026300,Leopoldo,Casaca,Ropa,Trujillo,3811.8,262,32,0.75,2026-05-13 15:22:07,3
TRX-00044244,Amparo,Polo,Ropa,Arequipa,2301.88,497,23,0.75,2026-05-13 15:22:08,3
TRX-00002877,Noa,Bicicleta,Deportes,Lima,2840.6,15,32,0.74,2026-05-13 15:22:06,3
TRX-00094039,Gervasio,Guantes,Deportes,Piura,2193.25,334,15,0.74,2026-05-13 15:22:09,3
TRX-00049416,Paola,Polo,Ropa,Chiclayo,1555.6,209,22,0.72,2026-05-13 15:22:04,3
TRX-00044081,Delfina,Bicicleta,Deportes,Arequipa,3890.75,144,30,0.72,2026-05-13 15:22:05,3
TRX-00098946,Azucena,Botas,Calzado,Arequipa,2982.4,487,11,0.72,2026-05-13 15:22:09,3
TRX-00075248,Victor,Mochila,Accesorios,Piura,1272.25,1,27,0.71,2026-05-13 15:22:02,3
TRX-00057517,Anastasio,Jean,Ropa,Lima,2308.35,473,16,0.71,2026-05-13 15:22:07,3
TRX-00045694,Nieves,Mesa,Hogar,Cusco,2201.95,370,23,0.71,2026-05-13 15:22:09,3
TRX-00002435,Borja,Bicicleta,Deportes,Chiclayo,2327.04,262,21,0.7,2026-05-13 15:22:01,3
